Team,Wins,Losses,ELO,Conference,Region
SIUE,5,19,1023.04,OVC,Midwest
SMU,0,6,1206.39,AAC,East
South Alabama,11,13,1251.96,Sun Belt,South
South Carolina,26,5,1833.04,SEC,South
South Carolina State,1,9,1017.03,MEAC,South
South Carolina Upstate,6,15,1129,Big South,South
South Dakota,18,6,1569.93,Summit League,Midwest
South Dakota State,21,4,1619.36,Summit League,Midwest
South Florida,19,4,1658.76,AAC,East
Southeast Missouri,14,11,1337.94,OVC,Midwest
Southeastern Louisiana,11,8,1279.15,Southland,South
Southern,12,11,1317.02,SWAC,South
Southern Illinois,9,16,1247.75,MVC,Midwest
Southern Miss,6,12,1175.4,C-USA,South
Southern Utah,10,9,1263.95,WAC,West
Stanford,31,2,1946.53,Pac-12,West
Stephen F. Austin,22,3,1591.91,Southland,South
Stetson,8,15,1173.53,ASUN,South
Stony Brook,15,6,1488.56,CAA,East
Syracuse,14,9,1602.25,ACC,East
Tarleton State,5,16,1052.81,WAC,West
TCU,10,15,1394.63,Big 12,South
Temple,11,11,1378.76,AAC,East
Tennessee,17,8,1619.93,SEC,South
Tennessee-Martin,22,6,1558.31,OVC,Midwest
Tennessee State,0,22,894.49,OVC,Midwest
Tennessee Tech,15,10,1347.46,OVC,Midwest
Texas,21,10,1673.67,Big 12,South
Texas A&M,25,3,1791.34,SEC,South
Texas A&M-Corpus Christi,4,12,1215.49,Southland,South
Texas Southern,5,10,1189.3,SWAC,South
Texas State,11,11,1256.5,Sun Belt,South
Texas Tech,9,15,1335.89,Big 12,South
Toledo,12,12,1353.14,MAC,Midwest
Towson,12,9,1316.44,CAA,East
Troy,20,6,1560.83,Sun Belt,South
Tulane,18,9,1477.12,AAC,East
Tulsa,5,14,1164.87,AAC,East
UAB,8,13,1239.9,AAC,East
UC Davis,13,3,1495.55,Big West,West
UC Irvine,14,9,1319.17,Big West,West
UC Riverside,6,12,1068.07,Big West,West
UC San Diego,6,9,1147.18,Big West,West
UC Santa Barbara,7,14,1211.11,Big West,West
UCF,16,5,1584.93,Big 12,South
UCLA,17,6,1695.41,Pac-12,West
UIC,2,16,979.89,MVC,Midwest
ULM,2,20,990.11,Sun Belt,South
UMass,16,8,1467.78,Atlantic 10,East
UMass-Lowell,12,9,1298.31,America East,East
UMBC,2,6,1115.99,America East,East
UMKC,8,12,1263.34,WAC,West
UNC Asheville,10,15,1133.7,Big South,South
UNCG,7,14,1208.21,SoCon,South
UNCW,7,14,1209.22,CAA,East
UNLV,15,9,1392.51,Mountain West,West
USC,11,12,1495.42,Pac-12,West
UTA,11,7,1353.42,Sun Belt,South
Utah,5,16,1324.88,Pac-12,West
Utah State,4,20,1039.61,Mountain West,West
Utah Valley,12,7,1288.03,WAC,West
UTEP,17,8,1426.8,C-USA,South
UTRGV,6,14,1087.25,WAC,West
UTSA,1,18,966.01,AAC,East
Valparaiso,12,13,1344.6,MVC,Midwest
Vanderbilt,4,4,1369.52,SEC,South
VCU,16,11,1478.54,Atlantic 10,East
Vermont,4,2,1216.36,America East,East
Villanova,17,7,1546.43,Big East,East
Virginia,0,5,1321.21,ACC,East
Virginia Tech,15,10,1588.35,ACC,East
Wagner,13,6,1297.92,NEC,East
Wake Forest,12,13,1473.2,ACC,East
Washington,7,14,1375.58,Pac-12,West
Washington State,12,12,1467.15,Pac-12,West
Weber State,2,19,1003.16,Big Sky,West
West Virginia,22,7,1636.18,Big 12,South
Western Carolina,4,18,1020.57,SoCon,South
Western Illinois,8,16,1221.72,Summit League,Midwest
Western Kentucky,7,16,1240.05,C-USA,South
Western Michigan,6,15,1266.2,MAC,Midwest
Wichita State,6,12,1265.4,AAC,East
William & Mary,6,7,1331.96,CAA,East
Winthrop,6,18,1035.34,Big South,South
Wisconsin,5,19,1235.06,Big Ten,Midwest
Wofford,12,11,1229.25,SoCon,South
Wright State,19,8,1517.09,Horizon,Midwest
Wyoming,14,10,1418.68,Mountain West,West
Xavier,5,10,1184.79,Big East,East
Yale,0,0,1451.9,Ivy League,East
Youngstown State,10,8,1246.94,Horizon,Midwest
