"Team","Record","ELO","Rank","ELO Delta"
"Elon","9-18",1188,253,-6
"Saint Thomas","13-15",1186.01,254,-6
"Furman","12-15",1183.18,255,1
"Dayton","9-18",1178.5,256,-4
"South Carolina Upstate","14-14",1178.22,257,4
"Arkansas State","12-16",1177.39,258,-1
"Rutgers","8-23",1177.24,259,-4
"Winthrop","11-15",1176.65,260,4
"Western Illinois","14-11",1171.21,261,1
"San Diego","7-21",1170.02,262,1
"Miami (OH)","8-19",1168.82,263,6
"Loyola-Marymount","8-18",1167.13,264,1
"Tarleton State","8-18",1166.77,265,2
"UC San Diego","10-17",1165.95,266,NA
"La Salle","8-21",1165.2,267,-8
"Morehead State","12-14",1164.49,268,3
"Indiana State","10-17",1159.12,269,1
"Delaware","10-18",1155.69,270,-10
"Tulane","10-19",1154.17,271,-13
"Bellarmine","8-18",1150.55,272,5
"Charleston Southern","10-18",1148.07,273,6
"Seattle University","5-22",1145.7,274,12
"Jacksonville","8-19",1144.13,275,1
"Georgia Southern","13-17",1142.84,276,11
"New Mexico State","10-17",1141.88,277,5
"Texas State","12-18",1140.62,278,-29
"Lafayette","10-18",1136.99,279,1
"Idaho State","10-18",1134.78,280,-6
"NJIT","12-17",1134.01,281,-8
"Radford","12-17",1133.65,282,3
"Quinnipiac","10-17",1133.45,283,-5
"Southern Illinois","9-19",1129.45,284,-9
"Rider","9-18",1125.5,285,-1
"Coppin State","10-17",1125.5,286,17
"Cal State Fullerton","10-18",1120.89,287,-6
"North Dakota","7-19",1117.99,288,1
"Northwestern State","9-17",1117.43,289,4
"IUPUI","7-23",1116.92,290,-7
"Longwood","7-20",1116.11,291,NA
"Merrimack","11-17",1113.02,292,2
"Prairie View A&M","8-16",1110.67,293,4
"Kennesaw State","9-18",1110.39,294,1
"Northeastern","9-16",1110,295,-3
"Tennessee State","8-18",1109.06,296,3
"Denver","7-21",1106.82,297,3
"UMKC","10-19",1105.78,298,-8
"Texas A&M-Commerce","10-15",1104.92,299,-3
"Central Michigan","5-20",1103.85,300,8
"UTRGV","6-21",1102.17,301,3
"New Orleans","10-18",1100.29,302,-1
"UMBC","8-18",1098.53,303,2
"American","9-19",1085.57,304,-2
"Florida A&M","8-20",1080.7,305,1
"Utah Valley","8-18",1080.4,306,3
"Alcorn State","7-19",1075.81,307,-19
"Omaha","5-22",1074.67,308,6
"Nicholls","10-16",1071.07,309,4
"Sam Houston State","5-19",1069.63,310,1
"Central Connecticut","9-19",1069.52,311,1
"Bethune-Cookman","12-15",1069.48,312,-5
"Valparaiso","5-22",1066.25,313,7
"Southern Utah","6-20",1058.61,314,-4
"Morgan State","6-18",1052.85,315,-17
"Southeast Missouri","7-20",1049.79,316,5
"Sacramento State","5-24",1042.17,317,2
"UMass","4-26",1041.33,318,-3
"Gardner-Webb","6-23",1039.38,319,6
"Hofstra","8-18",1036.52,320,-3
"Cornell","7-18",1035.04,321,-3
"Dartmouth","5-18",1032.23,322,1
"Saint Peter's","7-20",1029.81,323,-1
"Portland State","6-22",1029.29,324,-8
"Cal State Bakersfield","7-20",1026.26,325,1
"Texas Southern","5-22",1011.12,326,15
"North Florida","6-21",1010.35,327,2
"Eastern Michigan","5-21",1010.24,328,3
"South Alabama","7-23",1009.78,329,-5
"Lindenwood","6-21",1004.99,330,6
"UNCW","4-22",1002.96,331,2
"Utah State","4-22",1002.64,332,NA
"San Jose State","6-22",999.18,333,-5
"Weber State","6-24",998.28,334,-7
"Delaware State","5-18",996.03,335,-5
"New Hampshire","8-20",987.16,336,-2
"UNC Asheville","8-19",983.69,337,NA
