"Team","Wins","Losses","ELO","Conference","Region"
"Mississippi Valley State",4,22,1057.68,"SWAC","South"
"Missouri",18,13,1589.39,"SEC","South"
"Missouri State",24,8,1696.34,"MVC","Midwest"
"Monmouth",14,16,1202.78,"CAA","East"
"Montana",18,11,1408.07,"Big Sky","West"
"Montana State",20,13,1532.95,"Big Sky","West"
"Morehead State",0,27,982.84,"OVC","Midwest"
"Morgan State",16,8,1463.87,"MEAC","South"
"Mount Saint Mary's",15,13,1422.18,"NEC","East"
"Murray State",20,10,1488.87,"OVC","Midwest"
"Navy",10,21,1262.87,"Patriot","East"
"Nebraska",24,9,1714.24,"Big Ten","Midwest"
"Nevada",18,13,1442.21,"Mountain West","West"
"New Hampshire",6,21,1138.27,"America East","East"
"New Mexico",25,10,1566.48,"Mountain West","West"
"New Mexico State",8,19,1193.65,"WAC","West"
"New Orleans",4,18,1124.67,"Southland","South"
"Niagara",15,15,1371.46,"MAAC","East"
"Nicholls",2,22,1020.82,"Southland","South"
"NJIT",15,15,1291.97,"America East","East"
"Norfolk State",16,12,1404.96,"MEAC","South"
"North Alabama",10,15,1293.36,"ASUN","South"
"North Carolina",25,7,1829.8,"ACC","East"
"North Carolina A&T",14,15,1363.2,"MEAC","South"
"North Carolina Central",3,20,1096.76,"MEAC","South"
"North Carolina State",32,4,1997.62,"ACC","East"
"North Dakota",13,15,1304.99,"Summit League","Midwest"
"North Dakota State",9,18,1314.99,"Summit League","Midwest"
"North Florida",10,17,1336.59,"ASUN","South"
"North Texas",16,13,1499.64,"AAC","East"
"Northeastern",14,18,1310.7,"CAA","East"
"Northern Arizona",17,14,1458.59,"Big Sky","West"
"Northern Colorado",14,16,1413.28,"Big Sky","West"
"Northern Illinois",14,15,1509.3,"MAC","Midwest"
"Northern Iowa",22,11,1605.52,"MVC","Midwest"
"Northern Kentucky",20,8,1515.73,"Horizon","Midwest"
"Northwestern",17,12,1638.28,"Big Ten","Midwest"
"Northwestern State",8,14,1130.27,"Southland","South"
"Notre Dame",24,9,1816.9,"ACC","East"
"Oakland",15,15,1420.97,"Horizon","Midwest"
"Ohio",14,15,1444.57,"MAC","Midwest"
"Ohio State",25,7,1830.78,"Big Ten","Midwest"
"Oklahoma",25,9,1759.22,"Big 12","South"
"Oklahoma State",9,20,1486.02,"Big 12","South"
"Old Dominion",23,10,1563.81,"Sun Belt","South"
"Ole Miss",23,9,1757.15,"SEC","South"
"Omaha",6,19,1178.39,"Summit League","Midwest"
"Oral Roberts",14,15,1412.36,"Summit League","Midwest"
"Oregon",19,12,1708.39,"Pac-12","West"
"Oregon State",17,14,1673.25,"Pac-12","West"
"Pacific",5,23,1233,"WCC","West"
"Penn",10,14,1423.45,"Ivy League","East"
"Penn State",11,18,1426.84,"Big Ten","Midwest"
"Pepperdine",8,17,1253.8,"WCC","West"
"Pittsburgh",11,19,1381.07,"ACC","East"
"Portland",18,11,1524.11,"WCC","West"
"Portland State",3,24,1064.36,"Big Sky","West"
"Prairie View A&M",10,17,1241.05,"SWAC","South"
"Presbyterian College",11,18,1252.76,"Big South","South"
"Princeton",25,5,1801.31,"Ivy League","East"
"Providence",11,19,1327.83,"Big East","East"
"Purdue",17,15,1502.72,"Big Ten","Midwest"
"Purdue Fort Wayne",5,21,1126.02,"Horizon","Midwest"
"Quinnipiac",21,12,1475.59,"MAAC","East"
"Radford",5,23,1106.65,"Big South","South"
"Rhode Island",22,7,1603.85,"Atlantic 10","East"
"Rice",13,13,1508.83,"AAC","East"
"Richmond",16,14,1438.96,"Atlantic 10","East"
"Rider",9,21,1192.22,"MAAC","East"
"Robert Morris",13,15,1370.65,"Horizon","Midwest"
"Rutgers",11,20,1470.2,"Big Ten","Midwest"
"Sacramento State",13,16,1291.95,"Big Sky","West"
"Sacred Heart",8,17,1174.19,"NEC","East"
"Saint Bonaventure",11,16,1265.78,"Atlantic 10","East"
"Saint Francis (NY)",16,10,1373.26,NA,NA
"Saint Francis (PA)",8,22,1201.75,"NEC","East"
"Saint John's",12,19,1436.93,"Big East","East"
"Saint Joseph's",13,17,1465.21,"Atlantic 10","East"
"Saint Louis",9,18,1357.7,"Atlantic 10","East"
"Saint Mary's College",18,15,1519.55,"WCC","West"
"Saint Peter's",13,18,1265.66,"MAAC","East"
"Saint Thomas",6,21,1152.48,"Summit League","Midwest"
"Sam Houston State",12,16,1406.61,"Southland","South"
"Samford",11,17,1309.52,"SoCon","South"
"San Diego",17,15,1490.12,"WCC","West"
"San Diego State",14,16,1382.15,"Mountain West","West"
"San Francisco",17,16,1520.24,"WCC","West"
"San Jose State",4,25,1190.34,"Mountain West","West"
"Santa Clara",14,15,1450.25,"WCC","West"
"Seattle University",9,19,1226.06,"WAC","West"
"Seton Hall",24,13,1740.68,"Big East","East"
"Siena",10,19,1250.85,"MAAC","East"
"SIUE",13,18,1320.52,"OVC","Midwest"
"SMU",14,15,1448.14,"AAC","East"
"South Alabama",5,18,1184.1,"Sun Belt","South"
"South Carolina",35,2,2066.63,"SEC","South"
"South Carolina State",4,25,1052.37,"MEAC","South"
"South Carolina Upstate",19,8,1421.4,"Big South","South"
"South Dakota",28,6,1805.33,"Summit League","Midwest"
"South Dakota State",28,9,1804.53,"Summit League","Midwest"
"South Florida",24,9,1744.95,"AAC","East"
"Southeast Missouri",4,23,1141.22,"OVC","Midwest"
"Southeastern Louisiana",14,11,1328.28,"Southland","South"
"Southern",12,17,1331.01,"SWAC","South"
"Southern Illinois",20,10,1553.79,"MVC","Midwest"
"Southern Miss",16,12,1419.34,"C-USA","South"
"Southern Utah",16,12,1430.99,"WAC","West"
"Stanford",32,4,2032.62,"Pac-12","West"
"Stephen F. Austin",26,5,1705.26,"Southland","South"
"Stetson",18,12,1511.36,"ASUN","South"
"Stony Brook",23,6,1550.69,"CAA","East"
"Syracuse",11,18,1452.93,"ACC","East"
"Tarleton State",12,13,1289.04,"WAC","West"
"TCU",6,22,1364.39,"Big 12","South"
"Temple",13,15,1470.76,"AAC","East"
"Tennessee",25,9,1798.33,"SEC","South"
"Tennessee-Martin",12,18,1372.32,"OVC","Midwest"
"Tennessee State",11,19,1216.69,"OVC","Midwest"
"Tennessee Tech",19,11,1540.84,"OVC","Midwest"
"Texas",29,7,1945.12,"Big 12","South"
"Texas A&M",14,15,1563.5,"SEC","South"
"Texas A&M-Corpus Christi",16,10,1353.67,"Southland","South"
"Texas Southern",11,15,1296.85,"SWAC","South"
"Texas State",12,14,1385.82,"Sun Belt","South"
"Texas Tech",11,19,1447.48,"Big 12","South"
"Toledo",29,6,1723.22,"MAC","Midwest"
"Towson",22,8,1590.26,"CAA","East"
"Troy",22,9,1619.22,"Sun Belt","South"
"Tulane",20,10,1631.69,"AAC","East"
"Tulsa",16,11,1467.84,"AAC","East"
"UAB",14,15,1378.22,"AAC","East"
"UC Davis",13,13,1427.51,"Big West","West"
"UC Irvine",20,12,1493.8,"Big West","West"
"UC Riverside",12,11,1411.9,"Big West","West"
"UC San Diego",12,14,1338.2,"Big West","West"
"UC Santa Barbara",14,12,1347.78,"Big West","West"
"UCF",26,4,1864.23,"Big 12","South"
"UCLA",18,13,1705.46,"Pac-12","West"
"UIC",2,25,1013.74,"MVC","Midwest"
"ULM",1,25,994.54,"Sun Belt","South"
"UMass",26,7,1714.64,"Atlantic 10","East"
"UMass-Lowell",11,16,1281.63,"America East","East"
"UMBC",2,23,1049.64,"America East","East"
"UMKC",21,9,1511.17,"WAC","West"
"UNC Asheville",8,22,1165.86,"Big South","South"
"UNCG",8,19,1180.37,"SoCon","South"
"UNCW",2,26,1063.8,"CAA","East"
"UNLV",26,7,1632.74,"Mountain West","West"
"USC",12,16,1530.41,"Pac-12","West"
"UTA",20,8,1614.95,"Sun Belt","South"
"Utah",21,12,1721.83,"Pac-12","West"
"Utah State",10,19,1311.23,"Mountain West","West"
"Utah Valley",14,15,1409.16,"WAC","West"
"UTEP",14,15,1308.71,"C-USA","South"
"UTRGV",14,19,1315.4,"WAC","West"
"UTSA",7,23,1220.6,"AAC","East"
"Valparaiso",11,19,1411.4,"MVC","Midwest"
"Vanderbilt",16,19,1571.32,"SEC","South"
