"Team","Wins","Losses","ELO","Conference","Region","Ranking.Estimate.1"
"Maryland Eastern Shore",7,20,1112.31,"MEAC","South",1007.40740740741
"McNeese",10,19,1114.92,"Southland","South",1075.86206896552
"Memphis",22,11,1554.88,"AAC","East",1333.33333333333
"Mercer",11,15,1268.97,"SoCon","South",1138.46153846154
"Merrimack",14,16,1190.42,"NEC","East",1173.33333333333
"Miami (FL)",22,13,1653.66,"ACC","East",1302.85714285714
"Miami (OH)",11,19,1249.83,"MAC","Midwest",1093.33333333333
"Michigan",23,10,1606.15,"Big Ten","Midwest",1357.57575757576
"Michigan State",16,14,1474.49,"Big Ten","Midwest",1226.66666666667
"Middle Tennessee",28,5,1627.72,"C-USA","South",1478.78787878788
"Milwaukee",11,19,1215.62,"Horizon","Midwest",1093.33333333333
"Minnesota",11,19,1294.15,"Big Ten","Midwest",1093.33333333333
"Mississippi State",22,11,1574.06,"SEC","South",1333.33333333333
"Mississippi Valley State",2,27,840.93,"SWAC","South",855.172413793103
"Missouri",18,14,1445.06,"SEC","South",1250
"Missouri State",20,12,1423.66,"MVC","Midwest",1300
"Monmouth",17,16,1338.37,"CAA","East",1212.12121212121
"Montana",12,16,1265.99,"Big Sky","West",1142.85714285714
"Montana State",19,11,1374.16,"Big Sky","West",1306.66666666667
"Morehead State",9,20,1074.32,"OVC","Midwest",1048.27586206897
"Morgan State",14,12,1229.41,"MEAC","South",1230.76923076923
"Mount Saint Mary's",11,19,1159.56,"NEC","East",1093.33333333333
"Murray State",14,16,1254.83,"OVC","Midwest",1173.33333333333
"Navy",1,29,884.93,"Patriot","East",826.666666666667
"Nebraska",18,15,1503.87,"Big Ten","Midwest",1236.36363636364
"Nevada",9,21,1158.19,"Mountain West","West",1040
"New Hampshire",6,21,983.6,"America East","East",977.777777777778
"New Mexico",20,13,1418.07,"Mountain West","West",1284.84848484848
"New Mexico State",16,17,1319.55,"WAC","West",1187.87878787879
"New Orleans",8,20,1044.68,"Southland","South",1028.57142857143
"Niagara",18,13,1359.91,"MAAC","East",1264.51612903226
"Nicholls",4,24,908.06,"Southland","South",914.285714285714
"NJIT",13,16,1148.13,"America East","East",1158.62068965517
"Norfolk State",25,7,1428.49,"MEAC","South",1425
"North Alabama",12,15,1246.56,"ASUN","South",1155.55555555556
"North Carolina",22,11,1640.85,"ACC","East",1333.33333333333
"North Carolina A&T",15,12,1280.77,"MEAC","South",1244.44444444444
"North Carolina Central",12,16,1189.23,"MEAC","South",1142.85714285714
"North Carolina State",20,12,1595.61,"ACC","East",1300
"North Dakota",17,13,1279.94,"Summit League","Midwest",1253.33333333333
"North Dakota State",17,12,1278.86,"Summit League","Midwest",1268.96551724138
"North Florida",5,20,1066.51,"ASUN","South",960
"North Texas",10,20,1235.66,"AAC","East",1066.66666666667
"Northeastern",19,12,1397.72,"CAA","East",1290.32258064516
"Northern Arizona",20,14,1390.49,"Big Sky","West",1270.58823529412
"Northern Colorado",11,18,1161.68,"Big Sky","West",1103.44827586207
"Northern Illinois",16,17,1267.52,"MAC","Midwest",1187.87878787879
"Northern Iowa",23,10,1516.16,"MVC","Midwest",1357.57575757576
"Northern Kentucky",17,14,1322.49,"Horizon","Midwest",1238.70967741935
"Northwestern",9,21,1262.53,"Big Ten","Midwest",1040
"Northwestern State",8,18,1042.19,"Southland","South",1046.15384615385
"Notre Dame",27,6,1756.69,"ACC","East",1454.54545454545
"Oakland",12,17,1187.06,"Horizon","Midwest",1131.03448275862
"Ohio",6,23,1158.04,"MAC","Midwest",965.51724137931
"Ohio State",28,8,1754.23,"Big Ten","Midwest",1422.22222222222
"Oklahoma",26,7,1693.49,"Big 12","South",1430.30303030303
"Oklahoma State",21,12,1549.02,"Big 12","South",1309.09090909091
"Old Dominion",21,12,1410.59,"Sun Belt","South",1309.09090909091
"Ole Miss",25,9,1679.26,"SEC","South",1388.23529411765
"Omaha",13,17,1250.99,"Summit League","Midwest",1146.66666666667
"Oral Roberts",11,19,1208.66,"Summit League","Midwest",1093.33333333333
"Oregon",20,15,1532.31,"Pac-12","West",1257.14285714286
"Oregon State",13,18,1402.94,"Pac-12","West",1135.48387096774
"Pacific",14,17,1359.75,"WCC","West",1161.29032258065
"Penn",16,12,1387.29,"Ivy League","East",1257.14285714286
"Penn State",14,17,1337.07,"Big Ten","Midwest",1161.29032258065
"Pepperdine",10,19,1222.69,"WCC","West",1075.86206896552
"Pittsburgh",10,20,1301.79,"ACC","East",1066.66666666667
"Portland",21,9,1559.66,"WCC","West",1360
"Portland State",13,16,1241.65,"Big Sky","West",1158.62068965517
"Prairie View A&M",12,15,1198.94,"SWAC","South",1155.55555555556
"Presbyterian College",11,17,1117.79,"Big South","South",1114.28571428571
