Team,Wins,Losses,ELO,Conference,Region,Ranking.Estimate.1
Morehead State,6,16,1114.19,OVC,Midwest,1018.181818
Loyola-Marymount,7,19,1152.73,WCC,West,1015.384615
Saint Mary's College,7,19,1204.39,WCC,West,1015.384615
Hampton,4,11,1160.55,CAA,East,1013.333333
Pittsburgh,5,14,1241.1,ACC,East,1010.526316
Tulsa,5,14,1164.87,AAC,East,1010.526316
Hartford,3,9,1056.94,NA,NA,1000
Indiana State,5,15,1078.09,MVC,Midwest,1000
New Hampshire,5,15,1078.02,America East,East,1000
Oral Roberts,5,15,1213.19,Summit League,Midwest,1000
Texas A&M-Corpus Christi,4,12,1215.49,Southland,South,1000
UMBC,2,6,1115.99,America East,East,1000
Winthrop,6,18,1035.34,Big South,South,1000
Tarleton State,5,16,1052.81,WAC,West,990.4761905
Utah,5,16,1324.88,Pac-12,West,990.4761905
Robert Morris,4,13,1207.27,Horizon,Midwest,988.2352941
Bellarmine,5,17,1080.54,ASUN,South,981.8181818
Charleston Southern,5,17,993.01,Big South,South,981.8181818
Eastern Washington,5,17,1057.15,Big Sky,West,981.8181818
Central Connecticut,4,14,993.99,NEC,East,977.7777778
NJIT,4,14,1045.46,America East,East,977.7777778
Evansville,5,18,1071.62,MVC,Midwest,973.9130435
Illinois,5,18,1234.5,Big Ten,Midwest,973.9130435
Delaware State,3,11,1061.8,MEAC,South,971.4285714
Memphis,4,15,1146.42,AAC,East,968.4210526
Auburn,5,19,1212.97,SEC,South,966.6666667
SIUE,5,19,1023.04,OVC,Midwest,966.6666667
Wisconsin,5,19,1235.06,Big Ten,Midwest,966.6666667
Kennesaw State,3,12,1085.66,ASUN,South,960
Mississippi Valley State,4,16,991.05,SWAC,South,960
North Carolina Central,3,12,1134.74,MEAC,South,960
Prairie View A&M,3,13,1015.17,SWAC,South,950
Pepperdine,4,18,1133.8,WCC,West,945.4545455
Western Carolina,4,18,1020.57,SoCon,South,945.4545455
Miami (OH),4,20,1145.11,MAC,Midwest,933.3333333
Utah State,4,20,1039.61,Mountain West,West,933.3333333
East Tennessee State,3,16,1033.85,SoCon,South,926.3157895
Butler,3,17,1249.43,Big East,East,920
Arkansas-Pine Bluff,3,18,981.73,SWAC,South,914.2857143
Cal State Fullerton,3,18,1076.41,Big West,West,914.2857143
George Mason,3,19,1016.13,Atlantic 10,East,909.0909091
Coppin State,2,13,1013.7,MEAC,South,906.6666667
Sacramento State,3,22,1015.88,Big Sky,West,896
Georgetown,2,15,1132.07,Big East,East,894.1176471
Colgate,1,8,1177.22,Patriot,East,888.8888889
Monmouth,2,16,1006.87,CAA,East,888.8888889
UIC,2,16,979.89,MVC,Midwest,888.8888889
Jacksonville,2,17,1096.29,ASUN,South,884.2105263
South Carolina State,1,9,1017.03,MEAC,South,880
North Dakota,2,19,1050.66,Summit League,Midwest,876.1904762
Weber State,2,19,1003.16,Big Sky,West,876.1904762
ULM,2,20,990.11,Sun Belt,South,872.7272727
Detroit,1,13,1000.6,Horizon,Midwest,857.1428571
Coastal Carolina,1,15,1144.55,Sun Belt,South,850
California,1,16,1247.26,Pac-12,West,847.0588235
UTSA,1,18,966.01,AAC,East,842.1052632
Northwestern State,1,19,942.86,Southland,South,840
Purdue Fort Wayne,1,22,963.13,Horizon,Midwest,834.7826087
Canisius,0,5,1064.71,MAAC,East,800
Chicago State,0,14,921.26,NEC,East,800
Dixie State,0,2,1067.19,NA,NA,800
Loyola-Maryland,0,13,993.92,Patriot,East,800
SMU,0,6,1206.39,AAC,East,800
Tennessee State,0,22,894.49,OVC,Midwest,800
Virginia,0,5,1321.21,ACC,East,800
Bethune-Cookman,0,0,1410.3,SWAC,South,0
Brown,0,0,1188,Ivy League,East,0
Cal State Northridge,0,0,1206.2,Big West,West,0
Columbia,0,0,1398.6,Ivy League,East,0
Cornell,0,0,1241.3,Ivy League,East,0
Dartmouth,0,0,1246.5,Ivy League,East,0
Florida A&M,0,0,1116.5,SWAC,South,0
Harvard,0,0,1349.2,Ivy League,East,0
Maryland Eastern Shore,0,0,1171.1,MEAC,South,0
Penn,0,0,1449.3,Ivy League,East,0
Princeton,0,0,1536.8,Ivy League,East,0
Yale,0,0,1451.9,Ivy League,East,0
